ID,DBH,H,Age
1 ,8.50 ,6.41,10
2 ,NA,6.41,10
3 ,10.70 ,6.41,10
4 ,2.00 ,6.41,10
5 ,5.00 ,6.41,10
6 ,3.20 ,6.41,10
7 ,3.70 ,6.41,10
8 ,9.60 ,6.41,10
9 ,13.00 ,6.41,10
10 ,6.90 ,6.41,10
11 ,5.20 ,6.41,10
12 ,7.40 ,6.41,10
13 ,6.20 ,6.41,10
14 ,16.70 ,6.41,10
15 ,13.40 ,6.41,10
16 ,13.50 ,6.41,10
17 ,11.50 ,6.41,10
18 ,12.20 ,6.41,10
19 ,7.40 ,6.41,10
20 ,16.30 ,6.41,10
21 ,11.00 ,6.41,10
22 ,14.20 ,6.41,10
23 ,8.30 ,6.41,10
24 ,11.70 ,6.41,10
25 ,11.40 ,6.41,10
26 ,8.60 ,6.41,10
27 ,7.90 ,6.41,10
28 ,10.40 ,6.41,10
29 ,11.00 ,6.41,10
30 ,10.40 ,6.41,10
31 ,10.50 ,6.41,10
32 ,10.80 ,6.41,10
33 ,15.30 ,6.41,10
34 ,11.60 ,6.41,10
35 ,17.70 ,6.41,10
36 ,9.40 ,6.41,10
37 ,12.80 ,6.41,10
38 ,15.90 ,6.41,10
39 ,4.50 ,6.41,10
40 ,15.20 ,6.41,10
41 ,5.00 ,6.41,10
42 ,17.70 ,6.41,10
43 ,9.90 ,6.41,10
44 ,12.20 ,6.41,10
45 ,11.70 ,6.41,10
46 ,11.20 ,6.41,10
47 ,14.30 ,6.41,10
48 ,8.20 ,6.41,10
49 ,12.30 ,6.41,10
50 ,12.60 ,6.41,10
51 ,13.60 ,6.41,10
52 ,9.60 ,6.41,10
53 ,12.70 ,6.41,10
54 ,7.70 ,6.41,10
55 ,10.30 ,6.41,10
56 ,3.00 ,6.41,10
57 ,5.10 ,6.41,10
58 ,5.30 ,6.41,10
59 ,11.50 ,6.41,10
60 ,9.90 ,6.41,10
61 ,14.00 ,6.41,10
62 ,8.60 ,6.41,10
63 ,9.00 ,6.41,10
64 ,12.00 ,6.41,10
65 ,6.90 ,6.41,10
66 ,9.10 ,6.41,10
67 ,12.60 ,6.41,10
68 ,11.40 ,6.41,10
69 ,7.60 ,6.41,10
70 ,8.00 ,6.41,10
71 ,11.10 ,6.41,10
72 ,12.90 ,6.41,10
73 ,7.50 ,6.41,10
74 ,10.70 ,6.41,10
75 ,11.20 ,6.41,10
76 ,11.30 ,6.41,10
77 ,7.80 ,6.41,10
78 ,4.90 ,6.41,10
79 ,7.80 ,6.41,10
80 ,12.10 ,6.41,10
81 ,7.00 ,6.41,10
82 ,9.40 ,6.41,10
83 ,11.30 ,6.41,10
84 ,13.00 ,6.41,10
85 ,7.90 ,6.41,10
86 ,8.00 ,6.41,10
87 ,11.60 ,6.41,10
88 ,15.80 ,6.41,10
89 ,14.60 ,6.41,10
90 ,11.50 ,6.41,10
91 ,3.90 ,6.41,10
92 ,10.20 ,6.41,10
93 ,13.80 ,6.41,10
94 ,15.70 ,6.41,10
95 ,14.00 ,6.41,10
96 ,16.80 ,6.41,10
97 ,6.90 ,6.41,10
98 ,7.60 ,6.41,10
99 ,11.40 ,6.41,10
100 ,4.10 ,6.41,10
101 ,4.50 ,6.41,10
102 ,13.70 ,6.41,10
103 ,10.10 ,6.41,10
104 ,7.00 ,6.41,10
105 ,15.30 ,6.41,10
106 ,14.00 ,6.41,10
107 ,8.40 ,6.41,10
108 ,11.20 ,6.41,10
109 ,18.40 ,6.41,10
110 ,5.80 ,6.41,10
111 ,7.00 ,6.41,10
112 ,8.30 ,6.41,10
113 ,15.10 ,6.41,10
114 ,15.20 ,6.41,10
115 ,15.00 ,6.41,10
116 ,15.10 ,6.41,10
117 ,4.80 ,6.41,10
118 ,5.40 ,6.41,10
119 ,17.10 ,6.41,10
120 ,2.00 ,6.41,10
121 ,10.60 ,6.41,10
122 ,12.00 ,6.41,10
123 ,9.00 ,6.41,10
124 ,11.70 ,6.41,10
125 ,13.00 ,6.41,10
126 ,6.40 ,6.41,10
127 ,11.40 ,6.41,10
128 ,11.50 ,6.41,10
129 ,6.00 ,6.41,10
130 ,8.90 ,6.41,10
131 ,11.30 ,6.41,10
132 ,11.40 ,6.41,10
133 ,7.40 ,6.41,10
134 ,3.10 ,6.41,10
135 ,6.50 ,6.41,10
136 ,10.00 ,6.41,10
137 ,3.50 ,6.41,10
138 ,10.90 ,6.41,10
139 ,9.60 ,6.41,10
140 ,4.70 ,6.41,10
141 ,14.60 ,6.41,10
142 ,5.50 ,6.41,10
143 ,3.90 ,6.41,10
144 ,4.70 ,6.41,10
145 ,8.30 ,6.41,10
146 ,9.30 ,6.41,10
147 ,9.90 ,6.41,10
148 ,8.80 ,6.41,10
149 ,6.90 ,6.41,10
150 ,12.60 ,6.41,10
151 ,7.50 ,6.41,10
152 ,11.70 ,6.41,10
153 ,16.00 ,6.41,10
154 ,4.40 ,6.41,10
155 ,14.80 ,6.41,10
156 ,12.00 ,6.41,10
157 ,13.80 ,6.41,10
158 ,14.50 ,6.41,10
159 ,12.40 ,6.41,10
160 ,16.40 ,6.41,10
161 ,15.00 ,6.41,10
162 ,17.90 ,6.41,10
163 ,14.60 ,6.41,10
164 ,15.00 ,6.41,10
165 ,16.00 ,6.41,10
166 ,8.20 ,6.41,10
167 ,15.30 ,6.41,10
