location,si,tree,age.base,dbh.cm,height
1,20,1,20,4.6,4.2
1,20,1,30,10.2,9.3
1,20,1,40,14.9,14.9
1,20,1,50,18.3,19.7
1,20,1,60,20.7,23
1,20,1,70,22.6,25.8
1,20,1,80,24.1,27.4
1,20,1,90,25.5,28.8
1,20,1,100,26.5,30
1,20,1,110,27.3,30.9
1,20,1,120,28.1,31.8
1,20,1,130,28.6,32.4
1,20,1,140,29,33.1
1,20,2,20,5.4,4.8
1,20,2,30,12.3,10.3
1,20,2,40,17.2,15.3
1,20,2,50,20.5,19.9
1,20,2,60,23.6,23.7
1,20,2,70,26.3,27.1
1,20,2,80,28.4,29.4
1,20,2,90,30.3,31.5
1,20,2,100,32.3,33.1
1,20,2,110,34.1,34.3
1,20,2,120,36.3,35.5
1,20,2,130,38.8,36.7
1,20,2,140,40.8,37.8
1,20,3,10,0.7,1.6
1,20,3,20,7.3,5.9
1,20,3,30,13.8,10.2
1,20,3,40,19,14
1,20,3,50,23.6,18.3
1,20,3,60,27.1,22.6
1,20,3,70,29.6,26.7
1,20,3,80,31.4,29.6
1,20,3,90,33,32
1,20,3,100,34.4,34
1,20,3,110,35.9,35.5
1,20,3,120,37.6,36.8
1,20,3,130,39.4,38.2
1,20,3,140,40.9,39.5
1,20,4,20,9.2,6.9
1,20,4,30,18.3,12.7
1,20,4,40,27.2,18.2
1,20,4,50,33.1,23.2
1,20,4,60,36.2,27.2
1,20,4,70,38.8,30.1
1,20,4,80,41.1,32.7
1,20,4,90,43.3,35
1,20,4,100,45.3,37
1,20,4,110,47.7,38.9
1,20,4,120,50.1,40.6
1,20,4,130,52.8,42.1
1,20,4,140,55.4,43.5
1,20,6,10,1.4,2
1,20,6,20,12.2,7.8
1,20,6,30,17.5,12.9
1,20,6,40,22.3,17.7
1,20,6,50,26.2,22.2
1,20,6,60,28.4,24.8
1,20,6,70,30.6,27.2
1,20,6,80,32.6,29.3
1,20,6,90,34.5,31.4
1,20,6,100,35.7,32.8
1,20,6,110,36.7,33.9
1,20,6,120,37.6,34.7
1,20,6,130,38.6,35.6
1,20,6,140,39.4,36.5
1,20,6,150,40.1,37.4
1,20,7,10,1.5,1.9
1,20,7,20,10.8,6.9
1,20,7,30,16.9,12.2
1,20,7,40,23.2,16.6
1,20,7,50,28,20.7
1,20,7,60,31.2,24.1
1,20,7,70,34,27.3
1,20,7,80,36.8,30.2
1,20,7,90,39,32.5
1,20,7,100,40.7,34.1
1,20,7,110,42.1,35.3
1,20,7,120,43.3,36.5
1,20,7,130,44.6,37.6
1,20,7,140,46.1,38.8
1,20,7,150,47.6,39.9
1,16,8,20,4.9,4.3
1,16,8,30,8.6,8.2
1,16,8,40,12.1,10.9
1,16,8,50,14.9,15.5
1,16,8,60,17.1,18.9
1,16,8,70,19.2,21.9
1,16,8,80,20.9,23.7
1,16,8,90,22.6,25.2
1,16,8,100,23.8,26.4
1,16,8,110,25,27.5
1,16,8,120,25.7,28.6
1,16,8,130,26.3,29.5
1,16,8,140,26.9,30.4
1,16,8,150,27.4,31.4
1,16,9,20,2.4,2.5
1,16,9,30,5.9,4.8
1,16,9,40,9.3,8
1,16,9,50,12.7,12.2
1,16,9,60,16.5,16.2
1,16,9,70,19.5,19.7
1,16,9,80,22.1,22.7
1,16,9,90,24.4,25.1
1,16,9,100,26.5,27.3
1,16,9,110,28.5,28.9
1,16,9,120,30.3,30.2
1,16,9,130,32.6,31.7
1,16,9,140,35,33.4
1,16,9,150,37.4,34.9
1,16,10,20,5.4,5
1,16,10,30,11.4,10.3
1,16,10,40,16,15.4
1,16,10,50,19.3,19.4
1,16,10,60,22.2,22.5
1,16,10,70,24.5,24.9
1,16,10,80,27,27.5
1,16,10,90,28.8,29.4
1,16,10,100,30.6,30.8
1,16,10,110,32.2,32
1,16,10,120,33.6,32.9
1,16,10,130,35.3,34.6
1,16,10,140,37.1,36.5
1,16,10,150,38.9,37.9
1,16,11,20,6.3,5.5
1,16,11,30,10,8.1
1,16,11,40,13.3,10.9
1,16,11,50,15.1,13.8
1,16,11,60,19.5,17
1,16,11,70,23.6,20.1
1,16,11,80,27.5,22.8
1,16,11,90,30.4,25.1
1,16,11,100,33.2,27.1
